38,11138155,K00760.01,Kepler-1976 b,CANDIDATE,1,0,0,0,4.959319244,0.000000515,-0.000000515,172.2585292,0.0000827,-0.0000827,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9802,20,-20,12.21,1.96,-1.46,349.4,146.52,-93.21,696.5,1,q1_q17_dr25_tce
39,11152159,K00761.01,,FALSE POSITIVE,0,0,1,1,2.701287801,0.000005634,-0.000005634,170.69579,0.00164,-0.00164,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,6.54,1.64,-0.75,527.81,411.33,-166.35,48.3,1,q1_q17_dr25_tce
40,11153539,K00762.01,Kepler-666 b,CANDIDATE,1,0,0,0,4.49876511,0.00001777,-0.00001777,171.34905,0.003,-0.003,0.312,0.154,-0.312,3.7362,0.0934,-0.0934,460,17.5,-17.5,2.1,0.65,-0.22,389.62,365.71,-117.4,29.5,1,q1_q17_dr25_tce
41,11242721,K00763.01,,FALSE POSITIVE,0,0,1,0,19.651209505,0.000005862,-0.000005862,179.401981,0.000249,-0.000249,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,11766,27.7,-27.7,12.42,3.92,-1.69,67.03,62.46,-23.51,513.4,1,q1_q17_dr25_tce
42,9579641,K00115.01,Kepler-105 b,CANDIDATE,1,0,0,0,5.412203927,0.000003052,-0.000003052,133.143089,0.000468,-0.000468,0.787,0.005,-0.565,2.9472,0.024,-0.024,601.6,4,-4,2.94,0.43,-0.38,337.68,137.29,-102.18,166.7,1,q1_q17_dr25_tce
43,11304958,K00764.01,Kepler-667 b,CANDIDATE,0.998,0,0,0,41.43958662,0.00007557,-0.00007557,208.93203,0.00142,-0.00142,0.355,0.04,-0.355,10.5989,0.088,-0.088,2793.1,22.6,-22.6,5.5,1.57,-0.96,16.72,14.66,-6.64,141.1,1,q1_q17_dr25_tce
44,11391957,K00765.01,Kepler-668 b,CANDIDATE,1,0,0,0,8.35389523,0.00001524,-0.00001524,171.63257,0.00133,-0.00133,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,1041.6,28.2,-28.2,2.52,0.54,-0.24,91.9,59.06,-24.15,43.4,1,q1_q17_dr25_tce
45,11403044,K00766.01,Kepler-669 b,CANDIDATE,1,0,0,0,4.125543472,0.000003133,-0.000003133,169.752585,0.000613,-0.000613,0.597,0.235,-0.367,3.1744,0.0362,-0.0362,1487.3,13.3,-13.3,4.43,1.44,-0.51,565.35,542.47,-188.14,128.6,1,q1_q17_dr25_tce
46,11414511,K00767.01,Kepler-670 b,CANDIDATE,1,0,0,0,2.816504904,0.000000165,-0.000000165,170.9676846,0.0000466,-0.0000466,0.105,0.264,-0.119,2.50587,0.00666,-0.00666,16814,11,-11,12.21,1.62,-0.87,521.13,184.34,-97.95,1406.8,1,q1_q17_dr25_tce
47,11442465,K00768.01,,FALSE POSITIVE,0,0,1,1,33.93373447,0.00006154,-0.00006154,186.67608,0.00137,-0.00137,0.812,0.006,-0.009,14.561,0.104,-0.104,8503.7,44.3,-44.3,7.34,0.9,-0.6,8.11,3.25,-2.06,236.1,1,q1_q17_dr25_tce
